Company Legal Name,Trading Name,Region,HQ based in country,Valid website link OR leave blank,Lead Owner,Qualified as a customer at [day],Website form request send?,Message sent,Generic email,Names,Emails,
RN Comercio Varejista S/A,Ricardo Eletro,Latin America / Caribbean,Brazil,ricardoeletro.com.br,,,,,,,,
Ripio Brasil Serviços Plataforma Online De Ativos Digitais Ltda.,Ripio,Latin America / Caribbean,BRAZIL,ripio.com,,,,,,,,
RocketGate,,Latin America / Caribbean,PUERTO RICO,rocketgate.com,,,,,,,,
RR Soares Informatica,RS Solutions,Latin America / Caribbean,Brazil,rssolutions.com.br,,,,,,,,
SAFIRA SERVICOS DIGITAIS,Safira,Latin America / Caribbean,BRAZIL,safira.com,,,,,,,,
Banco Safra S.A.,Safra,Latin America / Caribbean,BRAZIL,safra.com.br,,,,,,,,
Scanntech,,Latin America / Caribbean,URUGUAY,scanntech.com.uy,,,,,,,,
Wow Solucoes Consultoria de Credito Especializada,SCF / WOW Pay,Latin America / Caribbean,Brazil,scfbrazil.com,,,,,,,,
Efeyse S.A.C.,Servipe,Latin America / Caribbean,Peru,servipe.com.pe,,,,,,,,
SISCARD PERU SAC,,Latin America / Caribbean,PERU,siscard.com.pe,,,,,,,,
SISTECO S.A.,,Latin America / Caribbean,URUGUAY,sisteco.com.uy,,,,,,,,
Sitael Participações S.A,Sitael,Latin America / Caribbean,BRAZIL,sitael.com,,,,,,,,
Accesstage Tecnologia S.A.,Accesstage,Latin America / Caribbean,Brazil,site.accesstage.com.br,,,,,,,,
Bela Viagem Pagamentos Ltda,Belaviagem,Latin America / Caribbean,Brazil,site.belaviagem.com,,,,,,,,
"GETNET ADQUIRENCIA E SERVICOS PARA MEIOS DE PAGAMENTO, S.A.",GETNET,Latin America / Caribbean,BRAZIL,site.getnet.com.br,,,,,,,,
GIRO PAGAMENTOS,GIRO,Latin America / Caribbean,BRAZIL,site.giropagamentos.com.br,,,,,,,,
Diamante Servicos Digitais Ltda - EPP,Diamante Servicos Digitais,Latin America / Caribbean,Brazil,site.pinpag.com.br,,,,,,,,
Serveloja Soluções Empresariais,Serveloja,Latin America / Caribbean,Brazil,site.serveloja.com.br,,,,,,,,
Solutions one meios de pagamentos e assessoria empresarial ltda,Solutions One,Latin America / Caribbean,Brazil,site.solutionsone.com.br,,,,,,,,
Avia and Slogold Group SA,,Latin America / Caribbean,PANAMA,slogold.net,,,,,,,,
Smartmei Servicos de Tecnologia LTDA,SmartMEI,Latin America / Caribbean,Brazil,smartmei.com.br,,,,,,,,
"Softek, Inc.",,Latin America / Caribbean,PUERTO RICO,softekpr.com,,,,,,,,
Software Express Informática S/C Lt,,Latin America / Caribbean,BRAZIL,softwareexpress.com.br,,,,,,,,
Solutions One,Solutions One,Latin America / Caribbean,BRAZIL,solutions.one,,,,,,,,
soulpay Solucoes de Pagamentos Ltda,soulpay,Latin America / Caribbean,Brazil,soulpay.com.br,,,,,,,,
STARPAY MDRSOLUTION SERVICOS LTDA,STARPAY,Latin America / Caribbean,Brazil,starpay.com.br,,,,,,,,
Stelo S.A.,Stelo,Latin America / Caribbean,Brazil,stelo.com.br,,,,,,,,
Stripe Brasil Solucoes de Pagamento Ltda.,Stripe,Latin America / Caribbean,BRAZIL,stripe.com,,,,,,,,
COOPERATIVA DE CREDITO RURAL DE OURO - SULCREDI / OURO,sulcredi,Latin America / Caribbean,BRAZIL,sulcredi.com.br,,,,,,,,
COOPERATIVA DE CRÉDITO RURAL DE SÃO MIGUEL DO OESTE - SULCREDI/SÃO MIGUEL,sulcredi,Latin America / Caribbean,BRAZIL,sulcredi.coop.br,,,,,,,,
Sumup - Solucoes de Pagamento Ltda,Sumup,Latin America / Caribbean,Brazil,sumup.com.br,,,,,,,,
SUNPAY SOLUÇÕES E TECNOLOGIA EM MEIOS DE PAGAMENTOS LIMITADA,SUNPAY,Latin America / Caribbean,BRAZIL,sunpay.com.br,,,,,,,,
Swissgame N.V.,Swissgame N.V.,Latin America / Caribbean,Curaçao,swissgame.com,,,,,,,,
Sympla Internet Solucoes S.A.,Sympla,Latin America / Caribbean,Brazil,sympla.com.br,,,,,,,,
Taki Pagamentos S/A,Taki Pagamentos,Latin America / Caribbean,Brazil,taki.com.vc,,,,,,,,
Target Meios de Pagamento S.A.,Target,Latin America / Caribbean,BRAZIL,targetmp.com.br,,,,,,,,
Tarjetas Peruanas Prepago,,Latin America / Caribbean,PERU,tarjetalamagica.com.pe,,,,,,,,
TECBAN Tecnologia Bancaria,TECBAN,Latin America / Caribbean,BRAZIL,TECBAN.COM.BR,,,,,,,,
"TECNOCOM PROCESADORA DE MEDIOS DE PAGOS, S. A.",,Latin America / Caribbean,REPUBLICA DOMINICANA,tecnocom.com.do,,,,,,,,
Tecnocom Procesadora de Chile S.A.,Tecnocom,Latin America / Caribbean,CHILE,tecnocom.es,,,,,,,,
Tecpay S.A.,Tecpay,Latin America / Caribbean,Brazil,tecpay.com.br,,,,,,,,
Teleperformance CRM SA,Teleperformance,Latin America / Caribbean,BRAZIL,teleperformance.com.br,,,,,,,,
Telered S.A.,,Latin America / Caribbean,PANAMA,telered.com.pa,,,,,,,,
TETO PAGAMENTOS S.A,TETO,Latin America / Caribbean,BRAZIL,teto.app,,,,,,,,
Thales DIS Brasil Cartoes e Solucoes de Tecnologia Ltda (Barueri),Thales,Latin America / Caribbean,BRAZIL,thalesgroup.com,,,,,,,,
Quantum Services LLC,Quantum Services group LLC,Latin America / Caribbean,ST. KITTS-NEVIS,thequantumcorp.com,,,,,,,,
Thomas Greg & Sons,Thomas Greg & Sons,Latin America / Caribbean,BRAZIL,thomasgregandsons.com,,,,,,,,
GREEN NET ADMINISTRADORA DE CARTÃO LTDA,Tip Card,Latin America / Caribbean,BRAZIL,tipcard.com.br,,,,,,,,
TMKT BRASIL S/A,TMKT BRASIL,Latin America / Caribbean,BRAZIL,tmktbrasil.com.br,,,,,,,,
Todo Pago S.A.,Todo Pago,Latin America / Caribbean,ARGENTINA,todopago.com.ar,,,,,,,,
TPAGA S.A.S.,TPAGA,Latin America / Caribbean,Colombia,tpaga.co,,,,,,,,
"Transbank, S.A.",Transbank,Latin America / Caribbean,CHILE,transbank.cl,,,,,,,,
Tribanco,Tribanco,Latin America / Caribbean,BRAZIL,tribanco.com.br,,,,,,,,
M18 Administracao de Recursos E Financas Ltda,Trustpay,Latin America / Caribbean,Brazil,trusthub.com.br,,,,,,,,
TELETECH,TELETECH,Latin America / Caribbean,BRAZIL,ttec.com,,,,,,,,
Tu Compra SAS,TU COMPRA,Latin America / Caribbean,Colombia,tucompra.co,,,,,,,,
Tu Pago SAS,Tu Pago,Latin America / Caribbean,Colombia,tupago.com.co,,,,,,,,
UAI PAGUEI,UAI PAGUEI,Latin America / Caribbean,Brazil,uaipaguei.com.br,,,,,,,,
Uber Do Brasil Tecnologia Ltda,Uber,Latin America / Caribbean,Brazil,uber.com,,,,,,,,
Unitec Blue S.A.,,Latin America / Caribbean,ARGENTINA,unitecblue.com.ar,,,,,,,,
"United Nearshore Operations, Inc.",,Latin America / Caribbean,REPUBLICA DOMINICANA,uno.com.do,,,,,,,,
Blu Varejo,Blu,Latin America / Caribbean,BRAZIL,useblu.com.br,,,,,,,,
Zapay Pagamentos Ltda,Zapay,Latin America / Caribbean,Brazil,usezapay.com.br,,,,,,,,
UZZO Pagamentos Ltda,UZZO,Latin America / Caribbean,BRAZIL,uzzo.io,,,,,,,,
Tripar Bsb Administradora de Cartões Ltda,,Latin America / Caribbean,BRAZIL,valeshop.com.br,,,,,,,,
Valid Soluciones - Argentina,,Latin America / Caribbean,ARGENTINA,valid.com.ar,,,,,,,,
Valorem Servicos de Process,Valorem,Latin America / Caribbean,Brazil,valorem.com.br,,,,,,,,
Vamos Pagamentos Correspondente Ltda,VSPAY,Latin America / Caribbean,Brazil,vamosparcelar.com.br,,,,,,,,
Vendemas,Soluciones Y Servicios Integrados,Latin America / Caribbean,Peru,vendemas.com.pe,,,,,,,,
Ventury Consulting Limited,,Latin America / Caribbean,Chile,venturicg.com,,,,,,,,
EQUIFAX-VERAZ,,Latin America / Caribbean,ARGENTINA,veraz.com.ar,,,,,,,,
Versatile Technology Inc.,VersaTec,Latin America / Caribbean,PANAMA,versatecenlinea.com,,,,,,,,
One US Servicos e Technologia LTDA,Vinya,Latin America / Caribbean,Brazil,vinya.com.br,,,,,,,,
PersoCard (VisaNet Guatemala),,Latin America / Caribbean,GUATEMALA,visanet.com.gt,,,,,,,,
COMPANIA PERUANA DE MEDIOS DE PAGO S.A. (VisaNet Peru),,Latin America / Caribbean,PERU,visanet.com.pe,,,,,,,,
Compania Uruguaya de Medios de Procesamiento,Visanet,Latin America / Caribbean,URUGUAY,visanet.com.uy,,,,,,,,
Vital Business Promotora LTDA,VITAL,Latin America / Caribbean,Brazil,vitalflex.com.br,,,,,,,,
Viva Pag Meios De Pagamento Ltda,Viva Pag,Latin America / Caribbean,Brazil,vivapag.com.br,,,,,,,,
"V.M. Payments, S.A.",,Latin America / Caribbean,Panama,vmpayment.net,,,,,,,,
Wayupay Soluções de Pagamentos Ltda,Tagobank,Latin America / Caribbean,BRAZIL,wayupay.net,,,,,,,,
Westwing Comercio Varejista LTDA,Westwing,Latin America / Caribbean,Brazil,westwing.com.br,,,,,,,,
Wide Pay Processador de Pagamentos Ltda,Wide Pay,Latin America / Caribbean,Brazil,widepay.com,,,,,,,,
WiPay (Trinidad &amp; Tobago) Ltd,,Latin America / Caribbean,TRINIDAD AND TOBAGO,wipaycaribbean.com,,,,,,,,
Moip Pagamentos S.A.,Moip,Latin America / Caribbean,Brazil,wirecard.com.br,,,,,,,,
Pasarela Colombia SAS,Wompi,Latin America / Caribbean,Colombia,wompi.co,,,,,,,,
DIDEX EIRELI,Wooki,Latin America / Caribbean,BRAZIL,wooki.com.br,,,,,,,,
Worldwide Payment Services,,Latin America / Caribbean,PUERTO RICO,worldwidepay.net,,,,,,,,
Prox-Service Promotora de Vendas e servicios,Pagshop,Latin America / Caribbean,Brazil,www1.checkexpress.com.br,,,,,,,,
"REPOM, S.A.",Repom,Latin America / Caribbean,BRAZIL,www1.repom.com.br,,,,,,,,
Deloitte Touche Tohmatsu Consultores Ltda.,Deloitte,Latin America / Caribbean,BRAZIL,www2.deloitte.com,,,,,,,,
Giro Pagamentos Do Brasil Ltda,GIRO,Latin America / Caribbean,Brazil,www2.giropagamentos.com.br,,,,,,,,
Tendencia,,Latin America / Caribbean,BRAZIL,www2.redetendencia.com.br,,,,,,,,
Xpago Solucoes em Pagamentos Ltda,Xpago,Latin America / Caribbean,Brazil,xpago.com.br,,,,,,,,
Alpe Intermediacao de Negocios S/A,Yandeh,Latin America / Caribbean,Brazil,yandeh.com.br,,,,,,,,
YaPay Pagamentos Online Ltda,YaPay,Latin America / Caribbean,Brazil,yapay.com.br,,,,,,,,
YESPAY SOLUCOES DE PAGAMENTOS LTDA,YESPAY,Latin America / Caribbean,BRAZIL,yespay.com.br,,,,,,,,
Younique Products,,Latin America / Caribbean,BRAZIL,youniqueproducts.com,,,,,,,,
Zemo Pay Tecnologia em Pagamentos,Zemo Pay,Latin America / Caribbean,BRAZIL,zemopay.com.br,,,,,,,,
PL Service Administracao e Servicios Ltda,ZigNet,Latin America / Caribbean,Brazil,zignet.com.br,,,,,,,,
Zoop Technologia Ltda,Zoop,Latin America / Caribbean,Brazil,zoop.com.br,,,,,,,,
Zotapay Ltd,Zotapay,Latin America / Caribbean,BELIZE,zotapay.com,,,,,,,,
Zro Pagamentos S.A.,ZRO Bank,Latin America / Caribbean,BRAZIL,zrobank.com.br,,,,,,,,
Complete Solution Limited,,Latin America / Caribbean,ST. KITTS-NEVIS,https://www.corporatesolutionsltd.com/st-kitts-nevis/,,,,,,,,
Servicios PagaNet CA,,Latin America / Caribbean,VENEZUELA,,,,,,,,,
Paymentez Peru SAC,,Latin America / Caribbean,PERU,,,,,,,,,
"SafeTm, LLC",,Latin America / Caribbean,PUERTO RICO,,,,,,,,,
The Web Rep LLC,,Latin America / Caribbean,PUERTO RICO,,,,,,,,,
Compania De Servicios Auxiliares Del Sistema Financiero Interdin S.A.,,Latin America / Caribbean,ECUADOR,,,,,,,,,
Diebold Paraguay S.A.,Diebold,Latin America / Caribbean,PARAGUAY,,,,,,,,,
2All Administradora de Meio,2All,Latin America / Caribbean,Brazil,,,,,,,,,
ASTECAS COBRANCAS E PAGAMENTOS LTDA,,Latin America / Caribbean,BRAZIL,,,,,,,,,
Banky Pagamentos e Tecnologia LTDA,,Latin America / Caribbean,BRAZIL,,,,,,,,,
BestPay Solucoes em Pagamentos/Rede Ponto Mais,BestPay,Latin America / Caribbean,Brazil,,,,,,,,,
"ENGAGEMENT MARKETING PROMOCIONAL, INCENTIVO, PUBLICIDADE E PROPAGANDA LTDA",,Latin America / Caribbean,BRAZIL,,,,,,,,,
Entregue Comercio e Servicos Ltda,Entregue,Latin America / Caribbean,Brazil,,,,,,,,,
Finkbank Soluções de Pagamentos Ltda,Finkbank,Latin America / Caribbean,BRAZIL,,,,,,,,,
HAGANA FOMENTO MERCANTIL LTDA,,Latin America / Caribbean,Brazil,,,,,,,,,
IntroPayTech Limited,,Latin America / Caribbean,BRITISH VIRGIN ISLANDS,,,,,,,,,
LINA CORTES,,Latin America / Caribbean,BRAZIL,,,,,,,,,
Moeda Digital Servicos De Informatica Ltda,,Latin America / Caribbean,Brazil,,,,,,,,,
Montanini e Rodrigues Software Ltda,,Latin America / Caribbean,BRAZIL,,,,,,,,,
PAGFLASH CARD ADMINISTRAÇÃO DE CARTÕES DE DESCONTOS LTDA,,Latin America / Caribbean,BRAZIL,,,,,,,,,
Paulo Sergio Galdeano Financeira,4Keys,Latin America / Caribbean,Brazil,,,,,,,,,
PayPhone,,Latin America / Caribbean,ECUADOR,,,,,,,,,
RCG Investimentos e Participacoes Ltda,Roadpass,Latin America / Caribbean,Brazil,,,,,,,,,
SMB VENDAS E MARKETING DIRETO LTDA ME,,Latin America / Caribbean,BRAZIL,,,,,,,,,
SRFM CONSULTORIA FINANCEIRA E SERVIÇOS EIRELI,,Latin America / Caribbean,BRAZIL,,,,,,,,,
TG Brasil LTDA,Jpay.LU,Latin America / Caribbean,Brazil,,,,,,,,,
VALES INTERCONTINENTALES S.A. Credomatic de Costa Rica,,Latin America / Caribbean,COSTA RICA,,,,,,,,,
W L DOS SANTOS,,Latin America / Caribbean,BRAZIL,,,,,,,,,
ASTECAS COBRANCAS E PAGAMENTOS LTDA,,Latin America / Caribbean,BRAZIL,,,,,,,,,
3G Direct Pay,Direct Pay Uganda Limited,Middle East / Africa,Uganda,3gdirectpay.com,,,,,,,,
A1PAYMENTS LTD,,Middle East / Africa,MAURITIUS,a1payments.com,,,,,,,,
African Card Company (A2C),,Middle East / Africa,TUNISIA,a2ctunisie.com,,,,,,,,
Altech Card Solutions,,Middle East / Africa,SOUTH AFRICA,acs.altech.co.za,,,,,,,,
Advance Card Technology Factory,,Middle East / Africa,SAUDI ARABIA,act-card.com,,,,,,,,
Emerging Markets Payments - Africa S.A.E.,ACTIS,Middle East / Africa,EGYPT,act.is,,,,,,,,
Abu Dhabi Commercial Bank,,Middle East / Africa,UNITED ARAB EMIRATES,adcb.com,,,,,,,,
Arab Financial Services Co. B.S.C.,AFS,Middle East / Africa,BAHRAIN,afs.com.bh,,,,,,,,
AIC FInance N.V.,,Middle East / Africa,Egypt,aicfinance.co,,,,,,,,
Appletree (Mauritius) LTD,,Middle East / Africa,MAURITIUS,appletree.co.uk,,,,,,,,
Advanced Smart Card Co,,Middle East / Africa,EGYPT,ascegypt.com,,,,,,,,
Bankserv,Bankserv,Middle East / Africa,SOUTH AFRICA,bankservafrrica.com,,,,,,,,
Banque Misr,,Middle East / Africa,EGYPT,banquemisr.com,,,,,,,,
Bardo Kenya Limited,Bardo,Middle East / Africa,Kenya,bardo.com,,,,,,,,
Business Connexion Tanzania Limited,,Middle East / Africa,"TANZANIA, UNITED REP. OF",bcx.co.tz,,,,,,,,
BEAMPortal LLC,BEAMWALLET,Middle East / Africa,United Arab Emirates,beamwallet.com,,,,,,,,
Bema Seamless International,Bema Switch,Middle East / Africa,Nigeria,bemaswitch.com,,,,,,,,
Bloom Holding GmbH,,Middle East / Africa,UNITED ARAB EMIRATES,bloomholding.com,,,,,,,,
BIDVEST MERCHANT SERVICES (PTY) LTD,,Middle East / Africa,SOUTH AFRICA,bms.co.za,,,,,,,,
Camel Rider Payment Service Provider,CamelR,Middle East / Africa,UNITED ARAB EMIRATES,camelr.com,,,,,,,,
Capital Software (Pty) Ltd,,Middle East / Africa,SOUTH AFRICA,capitalsoftware.net,,,,,,,,
Card Cutters Computer Equipment & Requisites Trading,,Middle East / Africa,UNITED ARAB EMIRATES,card-cutters.ae,,,,,,,,
Cardstel Solutions Limited,,Middle East / Africa,NIGERIA,cardstel.com.ng,,,,,,,,
Commercial Bank of Dubai(PSC),,Middle East / Africa,UNITED ARAB EMIRATES,cbd.ae,,,,,,,,
Infibeam Avenues Limited,,Middle East / Africa,United Arab Emirates,ccavenue.ae,,,,,,,,
Cellulant Nigeria Limited,Cellulant Nigeria,Middle East / Africa,Nigeria,cellulant.com.ng,,,,,,,,
CHAKA CARD SN SA,,Middle East / Africa,SENEGAL,chakacardsystems.com,,,,,,,,
Commercial International Bank,,Middle East / Africa,EGYPT,cibeg.com,,,,,,,,
CIM Finance Ltd,,Middle East / Africa,MAURITIUS,cimfinance.mu,,,,,,,,
Centre Monetique Interbancaire,,Middle East / Africa,MOROCCO,cmi.co.ma,,,,,,,,
CONCEPT PAYMENTS INC,,Middle East / Africa,MAURITIUS,conceptpayments.com,,,,,,,,
Dashpay (Pty) Ltd,,Middle East / Africa,SOUTH AFRICA,dashpay.co.za,,,,,,,,
De La Rue Kenya EPZ Limited,,Middle East / Africa,KENYA,delarue.com,,,,,,,,
Dialogue Group SA (Pty) Ltd,Dialogue Group,Middle East / Africa,SOUTH AFRICA,dialogue.co.za,,,,,,,,
DigiPos Solution,,Middle East / Africa,UNITED ARAB EMIRATES,digipos.ae,,,,,,,,
One Payment Limited,Direct Pay,Middle East / Africa,Kenya,directpay.online,,,,,,,,
Direct Transact (Pty) Ltd,,Middle East / Africa,SOUTH AFRICA,directtransact.co.za,,,,,,,,
Do-Pay International (Egyptian Company for Payment Systems),,Middle East / Africa,EGYPT,do-pay.com,,,,,,,,
ONE PAYMENT TANZANIA LIMITED,DPO think Payments,Middle East / Africa,"TANZANIA, UNITED REP. OF",dpogroup.com,,,,,,,,
DREAMOVAL LIMITED,,Middle East / Africa,GHANA,DREAMOVAL.COM,,,,,,,,
Smart Dubai Government Establishment,,Middle East / Africa,UNITED ARAB EMIRATES,dubai.ae,,,,,,,,
E-Revenue Gateway LTD,ERG,Middle East / Africa,Nigeria,e-revenuegateway.com,,,,,,,,
Easypay (Pty) Ltd,,Middle East / Africa,SOUTH AFRICA,easypay.co.za,,,,,,,,
Ecentric Payment Systems (Pty) Ltd,,Middle East / Africa,SOUTH AFRICA,ecentric.co.za,,,,,,,,
Ecobank Malawi Limited,EcoBank,Middle East / Africa,MALAWI,ecobank.com,,,,,,,,
ECS Limited,,Middle East / Africa,KENYA,ecs.com,,,,,,,,
Electronic Documents Centre L.L.C,,Middle East / Africa,UNITED ARAB EMIRATES,edc.ae,,,,,,,,
e-Finance,,Middle East / Africa,EGYPT,efinance.com.eg,,,,,,,,
EFT Corporation Services (Pvt) Limited,,Middle East / Africa,ZIMBABWE,eftcorp.com,,,,,,,,
EGYPTIAN BANKS CO. (EBC),,Middle East / Africa,EGYPT,egyptianbanks.com,,,,,,,,
Emaratech FZ LLC,Emaratech FZ LLC,Middle East / Africa,United Arab Emirates,ejari.ae,,,,,,,,
Ellams Products Limited,,Middle East / Africa,KENYA,ellams.co.ke,,,,,,,,
Emerge Mobile,,Middle East / Africa,SOUTH AFRICA,emergemobile.co.za,,,,,,,,
EMIS,,Middle East / Africa,ANGOLA,emis.co.ao,,,,,,,,
Electronic Payment Machine Ltd,,Middle East / Africa,MAURITIUS,epaymachine.com,,,,,,,,
Electronic Payplus Limited,,Middle East / Africa,NIGERIA,epayplusng.com,,,,,,,,
Emirates Telecommunications Corporation (Etisalat),,Middle East / Africa,UNITED ARAB EMIRATES,etisalat.com,,,,,,,,
Fawry for bank technologies and E payments (S.A.E),,Middle East / Africa,EGYPT,fawry.com,,,,,,,,
FBC Bank Limited,,Middle East / Africa,ZIMBABWE,fbc.co.zw,,,,,,,,
FINACARDS,,Middle East / Africa,MOROCCO,finacards.ma,,,,,,,,
Finserve Africa Limited,Jenga,Middle East / Africa,Kenya,finserve.africa,,,,,,,,
Fitechnologies UG,,Middle East / Africa,Qatar,fitech.com.qa,,,,,,,,
FC Gateway Services Nigeria LTD,FLOCASH,Middle East / Africa,Nigeria,flocash.com,,,,,,,,
Fortis MFB Plc,Fortis,Middle East / Africa,Nigeria,fortismfb.com,,,,,,,,
Fast Payment,,Middle East / Africa,MOROCCO,fpay.ma,,,,,,,,
FutureCard Industries LLC,,Middle East / Africa,UNITED ARAB EMIRATES,futurecard.com,,,,,,,,
Gulf Printing Products Manufacturers Factory (GEPCOM),,Middle East / Africa,SAUDI ARABIA,gepcom.com.sa,,,,,,,,
Gulf International Bank B.S.C.,,Middle East / Africa,SAUDI ARABIA,gib.com,,,,,,,,
Groupement Interbancaire Monetique de L'Uemoa (GIM-UEMOA),,Middle East / Africa,SENEGAL,gim-uemoa.org,,,,,,,,
Groupement Interbancaire de Monetique Etde Transactions Electroniques (GIMTEL),,Middle East / Africa,MAURITANIA,gimtel.mr,,,,,,,,
UNIPAY,,Middle East / Africa,SOUTH AFRICA,GO-UNIPAY.CO.ZA,,,,,,,,
Golden Chip Company,,Middle East / Africa,SAUDI ARABIA,goldenchip.com.sa,,,,,,,,
Global Payment Gateway,GPG,Middle East / Africa,Tunisia,gpgateway.com,,,,,,,,
Global Payment Services - GPS W.L.L.,GPS,Middle East / Africa,BAHRAIN,gps.com.bh,,,,,,,,
Banque Centrale Populaire,,Middle East / Africa,MOROCCO,groupebcp.com,,,,,,,,
BGFIBank SA,,Middle East / Africa,GABON,groupebgfibank.com,,,,,,,,
Hatua Solutions Limited,DeMorgan,Middle East / Africa,Ghana,hatuasolutions.com,,,,,,,,
Hyphen Technology (Pty) Limited,,Middle East / Africa,SOUTH AFRICA,hyphen.co.za,,,,,,,,
INTERNATIONAL CARD PROCESSING SERVICES LTD,,Middle East / Africa,MAURITIUS,icps.mu,,,,,,,,
Ivoire Cartes Systemes,ICS,Middle East / Africa,COTE D'IVOIRE,ics.ci,,,,,,,,
Innervation Value Added Services (Pty) Ltd,,Middle East / Africa,SOUTH AFRICA,innervation.co.za,,,,,,,,
Innovectives LLC,Innovectives,Middle East / Africa,Nigeria,innovectives.com,,,,,,,,
Information Technology Consultants (Pty) Ltd,,Middle East / Africa,SOUTH AFRICA,intecon.co.za,,,,,,,,
INTERFIN BANKING CORPORATION LTD,,Middle East / Africa,ZIMBABWE,interfin.co.zw,,,,,,,,
Interswitch East Africa (Kenya) Limited,,Middle East / Africa,KENYA,interswitchgroup.com,,,,,,,,
INTERSWITCH LIMITED,,Middle East / Africa,NIGERIA,interswitchng.com,,,,,,,,
IPAY Limited,IPAY Africa,Middle East / Africa,Kenya,ipayafrica.com,,,,,,,,
International Payment Services B.S.C. (Closed),IPS,Middle East / Africa,BAHRAIN,ips.com.bh,,,,,,,,
Rwanda Online Platform Ltd,Irembo,Middle East / Africa,Rwanda,irembo.gov.rw,,,,,,,,
Concorde Solutions (Pty) Ltd,Ivanti,Middle East / Africa,SOUTH AFRICA,ivanti.com,,,,,,,,
IVERI Payment Technology,,Middle East / Africa,SOUTH AFRICA,iveri.com,,,,,,,,
Jeraisy Group CardTec Factory,,Middle East / Africa,SAUDI ARABIA,jeraisycardtech.com,,,,,,,,
The Shared Electronic Banking Services Company - Knet,,Middle East / Africa,KUWAIT,knet.com.kw,,,,,,,,
Maroc Traitement de Transactions,,Middle East / Africa,MOROCCO,m2t.biz,,,,,,,,
Macneal Pty Ltd,Macneal,Middle East / Africa,South Africa,macneil.co.za,,,,,,,,
MakYoung Limited,,Middle East / Africa,GHANA,makyoung.com,,,,,,,,
Marshal Equipment &amp; Trading Co.,,Middle East / Africa,UNITED ARAB EMIRATES,marshal-me.com,,,,,,,,
Masria Card,,Middle East / Africa,EGYPT,masriacard.com,,,,,,,,
Mastercard Middle East Africa FZ-LLC,,Middle East / Africa,UNITED ARAB EMIRATES,mastercard.com,,,,,,,,
The Mauritius Commercial Bank Limited,,Middle East / Africa,MAURITIUS,mcb.mu,,,,,,,,
Metropolitan Bank of Zimbabwe Ltd,,Middle East / Africa,ZIMBABWE,metbank.co.zw,,,,,,,,
Itex Integrated Services United,Itex,Middle East / Africa,Nigeria,mews.iisysgroup.com,,,,,,,,
"Banco Internacional de Mocambique, S.A",,Middle East / Africa,MOZAMBIQUE,millenniumbim.co.mz,,,,,,,,
Mobility Technologies Limited,,Middle East / Africa,GHANA,mobilityT.com,,,,,,,,
MMI Holdings,,Middle East / Africa,SOUTH AFRICA,momentummetropolitan.co.za,,,,,,,,
Monetique Tunisie,,Middle East / Africa,TUNISIA,monetiquetunisie.com,,,,,,,,
Flutterwave Technology Solutions Limited,MWAVE-M,Middle East / Africa,Nigeria,moneywave.flutterwave.com,,,,,,,,
MSV WORLDWIDE LTD,MSV,Middle East / Africa,MAURITIUS,msvgroup.com,,,,,,,,
Oltio (PTY) Ltd,,Middle East / Africa,SOUTH AFRICA,mtnbanking.co.za,,,,,,,,
Al Dabbous Group General Trading & Contracting Co,My Fatoorah,Middle East / Africa,Kuwait,myfatoorah.com,,,,,,,,
MYGATE COMMUNICATIONS (PTY) LTD,,Middle East / Africa,SOUTH AFRICA,mygate.co.za,,,,,,,,
MQUID Integrated Solution Limited,MQUID,Middle East / Africa,Nigeria,mymquid.com,,,,,,,,
Pagatech Limited,Pagatech,Middle East / Africa,Nigeria,mypaga.com,,,,,,,,
Zeepay Ghana Limited,Zeepay,Middle East / Africa,Ghana,myzeepay.com,,,,,,,,
Societe D'Automatisation des Transactioninterbancaires et de MonetiQue Satim,,Middle East / Africa,ALGERIA,,,,,,,,,
NAPS SA,NAPS,Middle East / Africa,MOROCCO,naps.ma,,,,,,,,
National Bank of Egypt,,Middle East / Africa,EGYPT,nbe.com.eg,,,,,,,,
Nedbank Zimbabwe Limited,,Middle East / Africa,ZIMBABWE,nedbank.co.zw,,,,,,,,
Netplus Strategy and Sales Advisory Limited,,Middle East / Africa,Nigeria,netpluspay.com,,,,,,,,
Networking Payment Systems,,Middle East / Africa,MOROCCO,netps.ma,,,,,,,,
Network International LLC,,Middle East / Africa,UNITED ARAB EMIRATES,network.ae,,,,,,,,
Network Intelligent Payment Solutions,Network Intelligent Payment Solutions,Middle East / Africa,United Arab Emirates,networkips.com,,,,,,,,
Nomad EFT (Pty) Ltd,,Middle East / Africa,SOUTH AFRICA,nomadeft.com,,,,,,,,
Noon Payments,,Middle East / Africa,UNITED ARAB EMIRATES,noon.com,,,,,,,,
Noqoody Payment Services,Noqoody Payment Services,Middle East / Africa,Qatar,noqoody.com,,,,,,,,
Altech NuPay (Pty) Ltd,,Middle East / Africa,SOUTH AFRICA,nupay.co.za,,,,,,,,
Fintech Technology Systems Limited,Fintech Technology,Middle East / Africa,Nigeria,oneafricaapi.com,,,,,,,,
One Global Service For General Trading,OG,Middle East / Africa,Kuwait,OneGlobal.com,,,,,,,,
Arab National Bank,,Middle East / Africa,SAUDI ARABIA,onlinebanking.anb.com.sa,,,,,,,,
PAYBAY - TRANSACTION PAYMENT SOLUTIONS SOUTH AFRICA (PTY) LTD,,Middle East / Africa,SOUTH AFRICA,paybay.com,,,,,,,,
